Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
312,388441,388753,389065,389377,389533.0,389689,390001,390313,390625,390781.5
313,390938,391251,391564,391877,392033.5,392190,392503,392816,393129,393286.0
314,393443,393757,394071,394385,394542.0,394699,395013,395327,395641,395798.5
315,395956,396271,396586,396901,397058.5,397216,397531,397846,398161,398319.0
316,398477,398793,399109,399425,399583.0,399741,400057,400373,400689,400847.5
317,401006,401323,401640,401957,402115.5,402274,402591,402908,403225,403384.0
318,403543,403861,404179,404497,404656.0,404815,405133,405451,405769,405928.5
319,406088,406407,406726,407045,407204.5,407364,407683,408002,408321,408481.0
320,408641,408961,409281,409601,409761.0,409921,410241,410561,410881,411041.5
321,411202,411523,411844,412165,412325.5,412486,412807,413128,413449,413610.0
322,413771,414093,414415,414737,414898.0,415059,415381,415703,416025,416186.5
323,416348,416671,416994,417317,417478.5,417640,417963,418286,418609,418771.0
324,418933,419257,419581,419905,420067.0,420229,420553,420877,421201,421363.5
325,421526,421851,422176,422501,422663.5,422826,423151,423476,423801,423964.0
326,424127,424453,424779,425105,425268.0,425431,425757,426083,426409,426572.5
327,426736,427063,427390,427717,427880.5,428044,428371,428698,429025,429189.0
328,429353,429681,430009,430337,430501.0,430665,430993,431321,431649,431813.5
329,431978,432307,432636,432965,433129.5,433294,433623,433952,434281,434446.0
330,434611,434941,435271,435601,435766.0,435931,436261,436591,436921,437086.5
331,437252,437583,437914,438245,438410.5,438576,438907,439238,439569,439735.0
332,439901,440233,440565,440897,441063.0,441229,441561,441893,442225,442391.5
333,442558,442891,443224,443557,443723.5,443890,444223,444556,444889,445056.0
334,445223,445557,445891,446225,446392.0,446559,446893,447227,447561,447728.5
335,447896,448231,448566,448901,449068.5,449236,449571,449906,450241,450409.0
336,450577,450913,451249,451585,451753.0,451921,452257,452593,452929,453097.5
337,453266,453603,453940,454277,454445.5,454614,454951,455288,455625,455794.0
338,455963,456301,456639,456977,457146.0,457315,457653,457991,458329,458498.5
339,458668,459007,459346,459685,459854.5,460024,460363,460702,461041,461211.0
340,461381,461721,462061,462401,462571.0,462741,463081,463421,463761,463931.5
341,464102,464443,464784,465125,465295.5,465466,465807,466148,466489,466660.0
342,466831,467173,467515,467857,468028.0,468199,468541,468883,469225,469396.5
343,469568,469911,470254,470597,470768.5,470940,471283,471626,471969,472141.0
344,472313,472657,473001,473345,473517.0,473689,474033,474377,474721,474893.5
345,475066,475411,475756,476101,476273.5,476446,476791,477136,477481,477654.0
346,477827,478173,478519,478865,479038.0,479211,479557,479903,480249,480422.5
347,480596,480943,481290,481637,481810.5,481984,482331,482678,483025,483199.0
348,483373,483721,484069,484417,484591.0,484765,485113,485461,485809,485983.5
349,486158,486507,486856,487205,487379.5,487554,487903,488252,488601,488776.0
350,488951,489301,489651,490001,490176.0,490351,490701,491051,491401,491576.5
351,491752,492103,492454,492805,492980.5,493156,493507,493858,494209,494385.0
352,494561,494913,495265,495617,495793.0,495969,496321,496673,497025,497201.5
353,497378,497731,498084,498437,498613.5,498790,499143,499496,499849,500026.0
354,500203,500557,500911,501265,501442.0,501619,501973,502327,502681,502858.5
355,503036,503391,503746,504101,504278.5,504456,504811,505166,505521,505699.0
356,505877,506233,506589,506945,507123.0,507301,507657,508013,508369,508547.5
357,508726,509083,509440,509797,509975.5,510154,510511,510868,511225,511404.0
358,511583,511941,512299,512657,512836.0,513015,513373,513731,514089,514268.5
359,514448,514807,515166,515525,515704.5,515884,516243,516602,516961,517141.0
360,517321,517681,518041,518401,518581.0,518761,519121,519481,519841,520021.5
